"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"orangespriteman",527,2.29,1,6.3,13.4,0,0,0,0,10,40,21,26,207,2,0,18,1,0,44,97147,180359,26341,2006,97299,1994.3,0,0,0,0,19943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97147,180359,2.4,257,26341,97299,10,63,134,21,26,207,0.44,2.29,40,2006,0,0.2,0.5,-0.59,258.81,1149.6,-21.34,1.14,-87.83,0.16,0.1
"xInfluenza",1090,5.68,8.20,3.10,9.40,0,0,0,10,0,70,8, 20, 118, 17, 2, 18,2,4,60, 253806, 181321, 40526, 102.78, 149945,2031.8,0,0,0,20318,0,253806,181321,69.30,2376,40526,149945,82,31,94,8,20,118,0.60,5.68,70.00,6167,10.00,1.70,5.60,0.00,298.39,1491.85,19.90,28.57,102.21,0.23,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"KinkyGravini",855,2.20,5.80,5.40,6.10,1,1,5,1,2,40,3, 17, 80, 12, 3, 16,4,0,49, 202003, 153124, 104339, 148.22, 118573,1874.3,1580,9308,2627,1297,3931,10255,9432,16.00,50,6538,6970,1,3,11,1,3,7,0.52,4.00,100.00,187,0.00,0.00,0.00,-1.40,298.90,0,14.40,35.20,0,0.16,0.18,114453,66715,58.40,942,54728,63598,36,24,18,0,7,33,0.51,2.25,40.00,5694,0.00,1.60,4.00,0.66,421.64,3004.90,-15.26,95.88,82.35,0.23,0.29,10030,15372,48.00,131,5506,7867,1,8,2,0,0,8,0.33,0.38,0.00,65,0.00,0.00,0.00,-1.40,379.40,0,-92.80,-243.50,0,0.21,0.18,43454,27716,17.00,92,23454,19395,13,8,7,0,3,7,0.50,2.50,0.00,1768,0.00,4.00,5.00,1.40,328.20,1829.20,-40.10,450.20,314.70,0.24,0.22,23811,33889,10.50,138,14113,20743,7,11,23,2,4,25,0.45,2.73,50.00,1179,0.00,1.00,1.00,0.80,264.80,1673.00,18.97,16.60,154.05,0.16,0.11,
"AgentLauraKinney",826,4.17,3.70,3.50,10.90,0,1,0,2,7,60,14, 29, 137, 6, 3, 19,0,2,58, 77208, 139142, 92444, 28.98, 95288,1742.8,0,0,1214,2761,13453,28741,19381,61.50,314,2751,22269,21,2,7,0,3,12,0.62,14.00,100.00,110,0.00,2.00,7.50,0.00,292.35,0,31.98,147.30,0,0.24,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3064,17742,0.00,59,9946,6157,2,2,0,1,4,6,0.25,1.00,0.00,309,0.00,0.00,0.00,0.00,319.90,0,15.80,16.80,0,0.22,0.14,45403,102019,1.43,81,79747,66862,14,31,102,13,22,119,0.58,3.74,57.14,1320,0.00,0.71,1.29,-0.04,246.91,1495.08,-6.61,31.96,96.14,0.16,0.08,
"Baihtors",1240,3.44,7.30,5.00,9.90,1,7,2,0,0,60,5, 14, 64, 9, 1, 19,3,3,55, 225876, 315751, 174064, 186.65, 125207,1969.2,1784,4319,13589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56617,52717,64.00,357,9132,26939,17,15,13,2,1,22,0.56,2.00,50.00,401,0.00,1.50,4.50,0.80,434.80,1303.45,25.45,18.30,-20.80,0.21,0.26,17929,32984,39.00,165,24714,9701,2,7,4,0,0,4,0.27,0.86,0.00,762,0.00,1.00,2.00,-2.00,432.50,0,-70.40,-165.10,0,0.19,0.27,151330,230050,2.29,661,140218,88567,54,28,82,3,13,38,0.57,4.86,71.43,10036,14.29,1.43,3.57,0.00,336.64,1729.42,15.06,130.87,20.06,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Realistic camouf",1266,2.62,8.30,6.80,9.50,0,0,6,4,0,60,4, 12, 95, 12, 2, 20,4,2,54, 201488, 211632, 32503, 35.52, 116728,1776.7,0,10580,0,7187,0,78386,87553,56.75,591,14298,46532,30,33,34,0,4,34,0.56,1.94,50.00,337,25.00,1.25,3.25,0.00,302.13,1983.45,-11.94,-129.84,136.63,0.21,0.24,123102,124079,55.83,860,18205,70196,53,35,61,4,8,61,0.52,3.26,66.67,1794,0.00,2.17,4.67,-0.02,417.00,2268.73,23.33,44.28,-62.77,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ZXNM",1145,2.41,6.30,5.80,7.70,1,1,6,1,1,50,12, 14, 77, 8, 2, 11,0,1,47, 191701, 178931, 28293, 59.33, 112072,1803.7,1233,11740,1781,1888,1395,10876,17144,53.00,176,2089,10881,3,8,9,0,1,4,0.39,1.50,0.00,558,0.00,0.00,0.00,2.00,256.80,1242.90,-79.95,-76.70,106.25,0.19,0.14,130702,105927,56.67,990,9380,73636,48,43,33,6,11,47,0.45,1.88,33.33,2005,16.67,1.83,4.00,-0.35,403.42,1742.35,-25.85,-106.05,64.50,0.21,0.22,9636,17449,55.00,117,3577,7256,2,1,11,1,0,7,0.43,13.00,100.00,413,0.00,0.00,0.00,2.00,471.10,0,130.20,170.70,0,0.17,0.19,36194,22718,1.00,76,10750,14065,10,3,16,3,1,8,0.68,8.67,100.00,483,0.00,3.00,4.00,-0.10,341.80,0,71.70,243.50,0,0.23,0.32,4293,15693,10.00,18,2497,6234,0,3,8,2,1,11,0.40,2.67,100.00,101,0.00,0.00,0.00,0.25,220.20,0,21.15,124.05,0,0.13,0.07,
"zekesnack",989,1.39,5.20,8.00,5.90,3,7,0,0,0,30,6, 15, 93, 7, 0, 17,1,0,43, 167145, 279836, 53285, 82.97, 115255,1977.5,6072,0,13703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59947,106911,46.33,483,9131,33740,13,31,17,1,3,27,0.35,0.97,0.00,573,0.00,0.67,1.33,-1.20,406.30,1594.05,-30.83,-174.93,-120.40,0.19,0.22,107198,172925,3.57,477,44154,81515,39,49,42,5,12,66,0.47,1.65,42.86,4405,28.57,1.14,2.29,-0.11,298.86,1737.05,-13.01,-25.77,-27.32,0.20,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"DD Monk",1100,2.11,4.30,6.40,9.20,4,0,1,3,2,40,7, 20, 116, 10, 3, 14,1,6,51, 151845, 240171, 33599, 37.25, 114256,1921,8540,3015,0,4243,3412,24594,37795,59.00,420,4295,24801,10,17,8,1,3,20,0.41,1.06,33.33,586,0.00,1.00,1.67,-0.25,292.40,0,-39.20,-70.38,0,0.22,0.21,34026,44186,63.00,245,4391,20644,6,13,28,1,3,21,0.59,2.62,100.00,143,0.00,1.00,2.00,1.40,425.30,1374.80,47.70,-235.10,46.60,0.19,0.16,77220,110370,49.50,728,17010,52763,26,21,28,3,9,44,0.48,2.57,25.00,941,25.00,1.75,2.75,-0.75,394.85,1441.72,16.77,85.33,9.47,0.20,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16005,47820,13.00,91,7903,16048,1,13,28,2,5,31,0.58,2.23,50.00,565,0.00,0.00,0.00,0.20,247.35,1295.10,-36.37,22.15,37.30,0.16,0.09,
"CrispiPear",825,3.65,4.40,2.60,5.10,3,0,5,2,0,40,7, 19, 131, 3, 2, 19,2,7,38, 222361, 185613, 27468, 70.53, 127385,2241.5,6672,12021,0,3722,0,42254,25558,56.50,337,4371,20095,6,5,9,0,1,14,0.37,3.00,50.00,179,0.00,1.00,1.50,-1.25,278.60,1799.60,-24.05,27.38,19.80,0.19,0.28,141278,101266,55.80,1124,19072,70180,28,12,33,5,13,71,0.47,5.08,40.00,2758,0.00,0.80,5.40,-0.74,416.44,1530.57,-39.00,18.52,-94.95,0.20,0.26,38829,58789,48.67,605,4025,37110,10,9,9,2,5,46,0.24,2.11,33.33,1295,0.00,0.67,1.67,-2.50,410.73,1288.40,-33.07,-102.17,-88.30,0.19,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
