"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Nanashi",3.51,8.4,4.5,7.4,1,1,2,6,0,40,12,14,14,6,0,54,64.47
"MicroDiamond",1.03,1.50,7.00,5.70,2,2,0,0,3,43,8,2,11,3,1,45,29.73
"thechipsta",3.05,9.60,5.50,7.20,6,0,2,2,0,40,5,23,18,2,2,55,75.82
"Aetherion",1.85,4.90,6.20,6.60,5,0,0,4,1,20,1,7,11,1,1,53,51.88
"UpsetSloth",4.49,5.90,3.90,11.60,0,0,0,4,6,70,7,10,23,5,4,52,90.37
"Rosen Shock",2.22,10.90,7.70,6.20,2,7,0,1,0,40,0,15,17,2,3,58,82.15
"Sotofu",1.47,5.40,9.00,7.80,5,2,2,0,1,40,0,7,10,1,0,50,51.17
"TediousStar",1.74,4.30,4.70,3.90,7,3,0,0,0,10,6,8,11,1,0,40,94.05
"Rugved",2.15,7.30,8.90,11.80,2,2,1,1,4,40,3,5,18,4,3,61,74.40
"Jmack13",1.56,4.50,6.60,5.80,0,5,2,3,0,40,0,12,14,3,2,42,73.13
"Loushangdebiaoge",3.77,7.90,4.40,8.70,4,2,1,3,0,50,2,10,13,3,3,55,53.22
"Alexsaur22",2.22,3.00,5.50,9.20,0,0,1,6,3,30,4,8,13,1,1,49,36.58
"DEAD 95",1.97,2.50,6.30,9.90,2,1,2,2,3,40,5,5,12,2,3,47,30.03
"Irish Maiden",3.37,2.80,5.20,14.70,2,0,0,0,8,60,17,1,15,5,5,59,204.38
"Paramexican",2.74,4.60,3.80,5.80,5,4,1,0,0,40,13,16,16,2,1,40,55.92
"Big Barn BEz",2.38,10.30,7.10,6.60,0,1,1,7,1,40,2,12,17,3,4,57,48.23
"Rura",1.91,4.20,4.60,4.60,3,0,0,7,0,20,3,7,15,0,3,43,95.28
"rosborn",1.52,5.10,7.50,6.30,6,0,3,1,0,30,3,9,10,0,4,47,39.58
"VisionR",1.89,7.30,7.40,6.70,5,1,4,0,0,50,4,6,13,2,4,49,189.03
"onyl1",2.50,4.80,4.80,7.20,0,1,2,5,2,40,27,4,12,4,2,47,89.73
"Blomnqvist",3.88,8.50,4.20,7.80,2,0,0,8,0,70,0,15,18,4,6,54,78.20
"That1Teacher",3.27,0.70,4.10,12.70,1,0,0,0,9,60,21,2,17,4,2,52,47.82
"LuckeCharms",1.80,6.40,8.20,8.40,2,3,1,4,0,20,12,12,15,2,4,56,129.78
"bambooforest12",3.10,4.70,3.00,4.60,4,3,0,0,0,57,2,10,13,5,2,49,84.57
"Megarice",2.73,4.00,5.10,9.90,0,0,0,6,4,50,2,9,16,0,2,46,21.98
"Pandilly",3.32,6.20,4.70,9.40,0,8,2,0,0,50,1,6,15,3,1,52,198.80
"YourMothersDildo",1.95,7.40,6.40,5.10,6,3,0,0,1,40,14,13,15,2,1,39,51.25
"oneironautz",2.62,3.40,4.50,8.40,0,0,1,5,4,40,21,7,15,3,4,55,29.87
"belthazor3457",2.46,1.50,6.50,14.50,1,0,0,0,9,30,0,1,15,0,3,62,39.93
"Wrestle",2.22,5.50,4.90,5.40,8,0,0,1,1,50,10,10,17,1,4,48,30.47
"lNSlDlOUS",1.72,7.20,6.50,4.00,2,2,4,2,0,40,0,3,12,3,1,43,45.60
"Prevo",2.51,2.00,5.70,12.30,0,0,0,0,10,50,19,8,17,2,4,58,58.55
"Icics",2.92,6.30,4.90,8.00,4,0,6,0,0,50,2,8,15,1,6,57,199.13
"Wispreaver",3.92,5.40,4.00,10.30,2,8,0,0,0,70,1,2,14,2,8,49,114.92
"Yu Naru",2.36,4.00,5.80,9.70,2,4,3,0,1,30,3,5,16,1,1,52,132.08
"touch tank",5.64,5.80,2.50,8.30,1,0,3,2,4,70,14,7,12,3,3,55,38.93
"pHD Dobas",2.03,4.00,6.70,9.60,0,0,5,0,5,40,2,5,15,4,4,53,35.62
"TheOriginalBIG",1.76,7.00,7.60,6.40,0,1,4,5,0,20,0,6,14,6,1,46,32.15
"theNamesRichard",3.07,5.50,4.30,7.70,5,2,3,0,0,50,4,2,17,7,2,44,146.43
"Kaizoku Ryu",2.13,4.20,4.80,6.00,0,0,5,5,0,20,0,8,11,2,1,40,26.05
"MrBanana211",2.74,8.10,5.70,7.50,1,0,0,9,0,60,6,16,18,1,5,56,26.37
"Lifestile",2.30,6.80,5.70,6.30,9,0,1,0,0,70,8,25,28,9,10,48,24.78
"groboturner",2.48,5.20,6.10,9.90,1,3,0,4,2,60,6,6,16,1,3,50,56.73
"Bum Bum",1.54,4.10,6.80,6.40,3,2,3,1,1,20,0,5,9,2,0,49,104.42
"Squadporks",4.36,7.10,4.40,12.10,3,0,0,7,0,60,8,13,27,3,4,52,48.48
"old woft",2.75,5.60,5.10,8.40,2,0,7,0,1,40,4,6,16,4,8,52,30.18
"RampageJ5",1.49,5.00,7.40,6.00,1,2,6,1,0,50,0,5,14,5,5,41,230.28
"ToxicK2",3.54,0.90,3.90,12.90,0,0,0,0,10,30,25,1,11,0,4,55,61.25
"AteEight",3.50,4.20,4.60,11.90,0,9,1,0,0,60,3,2,21,7,3,61,93.57
"Chad Sado",3.16,4.20,4.90,11.30,0,3,0,5,2,60,10,9,16,2,5,54,54.87
"AdaroUmll",2.92,11.30,6.50,7.70,9,1,0,0,0,80,19,16,21,3,5,51,53.63
"Rimon",3.23,9.10,5.60,9.00,1,0,9,0,0,70,18,4,17,3,9,56,67.53
"Sweet Joffrey",1.83,6.30,7.10,6.70,3,0,7,0,0,60,0,12,17,4,3,45,53.80
"xFierceHalox",5.85,4.20,2.60,11.00,3,7,0,0,0,60,13,2,16,0,8,55,152.18
