"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Nanashi",3.15,7.2,4.7,7.6,2,2,4,2,0,50,7,18,102,11,1,22,3,4,46,206886,240088,42269,2630,133421,2115.2
"MicroDiamond",1.12,2.10,8.40,7.30,2,3,0,0,3,50,8, 22, 138, 2, 1, 13,3,2,46, 97373, 231779, 31513, 37.17, 76682,1935.625
"thechipsta",4.45,10.40,4.90,11.40,1,0,6,3,0,60,8, 28, 124, 13, 2, 22,1,5,58, 293037, 204205, 32378, 64.03, 143356,2101.4
"Aetherion",1.78,4.80,6.50,6.80,4,4,0,2,0,20,0, 24, 83, 6, 0, 12,0,3,47, 164957, 280166, 58106, 77.22, 110095,1993.3
"UpsetSloth",3.33,7.80,5.10,9.20,0,3,1,6,0,60,2, 7, 127, 10, 3, 20,6,6,51, 207635, 236342, 35242, 35.97, 132163,2060.6
"Rosen Shock",2.44,12.60,8.10,7.20,2,8,0,0,0,70,0, 17, 118, 23, 10, 19,1,5,64, 261615, 307895, 51107, 153.37, 153390,2108.8
"Sotofu",2.64,8.80,6.70,8.90,2,6,2,0,0,40,0, 31, 109, 5, 0, 16,1,2,59, 274613, 374403, 83434, 100.82, 146166,2325.4
"TediousStar",1.48,4.80,5.40,3.20,7,3,0,0,0,30,6, 17, 65, 13, 3, 16,2,1,39, 128736, 323143, 37730, 96.62, 110565,1830.3
"Rugved",2.15,7.30,8.90,11.80,2,2,1,1,4,40,3, 40, 160, 5, 2, 18,4,3,61, 216901, 284713, 60145, 74.40, 130763,2032.8
"Jmack13",2.18,3.70,4.90,7.00,3,6,0,1,0,50,0, 10, 65, 12, 2, 13,4,2,45, 128588, 228395, 50418, 66.10, 100951,1605.3
"Loushangdebiaoge",2.23,3.80,6.10,9.80,4,4,1,1,0,40,4, 19, 92, 3, 0, 21,0,3,47, 124338, 282670, 45393, 198.87, 115792,2097.3
"Alexsaur22",2.22,3.00,5.50,9.20,0,0,1,6,3,30,4, 22, 147, 8, 1, 13,1,1,49, 120787, 170157, 64830, 36.58, 102004,1929.6
"DEAD 95",2.73,7.10,6.40,10.40,5,1,1,0,3,40,9, 47, 189, 10, 2, 21,2,6,53, 245829, 326472, 88858, 110.82, 127703,2280.6
"Irish Maiden",2.42,1.10,5.50,12.20,0,0,0,0,10,40,25, 86, 301, 1, 1, 14,5,4,53, 97655, 199882, 107185, 55.23, 98525,2091.6
"Paramexican",1.94,3.60,4.90,5.90,4,4,0,1,1,50,9, 20, 90, 17, 3, 18,3,5,33, 128890, 250267, 65494, 66.17, 119023,1886.8
"Big Barn BEz",1.68,6.20,7.10,5.70,0,5,0,5,0,20,1, 29, 116, 7, 1, 10,2,2,49, 168187, 223857, 70798, 69.93, 113572,1921.8
"Rura",2.84,5.50,4.30,6.70,0,0,3,7,0,20,0, 13, 81, 9, 3, 17,2,1,50, 180325, 191165, 41146, 11.37, 118560,1986.9
"rosborn",2.75,6.30,6.10,10.50,7,0,3,0,0,30,5, 11, 102, 6, 0, 21,4,2,53, 229613, 254524, 45390, 26.97, 120896,1997.5
