"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"Nanashi",2.65,3.9,6.3,12.8,1,2,1,2,4,40,21,20,113,4,0,15,0,3,54,143125,268502,64802,2868,108880,2009.2,2065,1762,5067,3241,7957,21536,34803,37,208,2284,18285,9,12,15,2,2,19,0.55,2,0,92,16893,23341,59,131,2999,9929,4,7,8,1,1,5,0.48,0,0,387,13060,27785,41,140,3841,12168,5,4,12,3,2,5,0.52,4.25,100,290,40825,88774,1,145,37428,26708,7,19,29,6,6,26,0.56,1.89,0,1191,50811,93799,8.5,157,18250,41790,14,21,64,9,9,58,0.55,3.71,75,908
"MicroDiamond",1.03,3.40,9.60,6.50,4,0,1,3,2,20,11, 20, 122, 5, 0, 13,1,4,45, 139142, 269786, 44023, 34.32, 94005,1821.2,6914,970,0,6100,4228,67492,76104,59.33,617,8467,38744,22,35,18,3,9,31,0.54,1.14,33.33,280,1661,3964,30.00,30,140,2995,0,3,0,0,0,2,0.00,0.00,0.00,24,55540,124461,57.50,489,26967,33683,12,41,11,4,3,42,0.37,0.56,0.00,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14449,65257,6.50,52,8449,18583,0,17,36,4,8,47,0.46,2.12,50.00,264,
"Aetherion",1.68,4.30,6.60,6.80,3,4,0,2,1,20,0, 26, 88, 5, 0, 13,0,3,45, 154597, 272973, 53630, 73.53, 108029,1983.2,6046,0,7964,4109,1713,39642,38665,74.00,459,3257,25471,10,10,11,0,8,20,0.47,2.10,0.00,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54629,102330,50.33,437,24859,33202,16,18,22,0,3,26,0.43,2.11,33.33,1952,55551,112588,1.00,224,23575,42462,17,30,29,0,13,27,0.48,1.53,25.00,2001,4775,19390,10.00,32,1939,6894,0,8,6,0,2,15,0.32,0.75,0.00,229,
"UpsetSloth",2.65,8.20,6.80,9.80,3,3,0,4,0,60,1, 8, 138, 6, 2, 15,1,7,53, 276842, 322757, 56530, 101.78, 140342,2248.7,7558,0,6068,8861,0,135699,100587,42.25,757,13423,54777,37,35,28,0,6,53,0.54,1.86,25.00,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97389,108559,41.67,536,14442,47616,27,18,39,1,1,47,0.58,3.67,100.00,2765,43754,113611,3.33,171,28665,37949,18,15,31,0,1,38,0.45,3.27,66.67,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rosen Shock",1.59,9.40,9.50,5.70,2,8,0,0,0,40,1, 36, 102, 12, 6, 13,0,5,51, 284468, 292241, 58187, 108.35, 134703,2049,3782,0,16708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40316,37333,61.50,281,1763,22581,5,12,8,0,3,9,0.20,1.08,100.00,1180,244152,254908,2.62,527,56424,112122,89,83,49,1,33,93,0.59,1.66,25.00,5321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Sotofu",3.00,9.00,5.50,7.50,2,0,3,5,0,50,0, 20, 76, 6, 4, 19,2,3,57, 233689, 213475, 45741, 46.52, 125747,1930.9,4064,4901,0,10344,0,127464,123194,58.60,906,32294,67809,49,29,46,0,9,36,0.63,3.28,60.00,1594,56675,48646,61.67,415,1770,30289,23,18,12,0,2,22,0.50,0.00,33.33,849,49550,41635,60.50,361,11677,27649,18,8,17,0,9,18,0.51,4.38,50.00,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"TediousStar",1.33,5.60,7.60,4.50,5,5,0,0,0,10,4, 20, 71, 6, 1, 16,2,2,43, 140202, 345629, 45132, 151.87, 119093,2063.1,9576,0,11055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71804,170935,53.80,920,7223,54255,24,33,14,2,7,22,0.46,1.15,0.00,3750,68398,174694,1.00,454,37909,64838,32,43,31,2,13,49,0.41,1.47,20.00,5362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rugved",2.15,7.30,8.90,11.80,2,2,1,1,4,40,3, 40, 160, 5, 2, 18,4,3,61, 216901, 284713, 60145, 74.40, 130763,2032.8,4631,2100,3929,2064,7604,8449,32401,23.00,50,3968,10201,5,10,10,0,8,14,0.58,1.50,0.00,443,24784,26456,68.00,202,3236,17033,10,9,8,0,3,10,0.53,0.00,100.00,325,88299,76199,70.50,476,16454,37367,21,18,29,1,3,29,0.57,2.78,100.00,1401,37257,61052,3.00,108,13088,24522,20,17,27,2,12,29,0.71,2.76,0.00,939,58112,88605,7.25,187,23399,41640,17,35,44,0,14,78,0.60,1.74,25.00,1356,
"Jmack13",2.13,5.50,5.40,6.00,4,3,0,3,0,30,0, 9, 44, 14, 2, 13,0,2,46, 184551, 257852, 41852, 144.87, 118962,1953.8,8173,0,5939,5426,0,50726,37703,65.33,547,4474,35359,16,9,22,0,1,15,0.45,4.22,66.67,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84481,126217,55.25,820,15176,48518,21,27,18,0,1,12,0.42,1.44,25.00,5381,49344,93932,2.00,251,22202,35085,18,18,20,0,7,17,0.50,2.11,0.00,2575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Alexsaur22",2.22,3.00,5.50,9.20,0,0,1,6,3,30,4, 22, 147, 8, 1, 13,1,1,49, 120787, 170157, 64830, 36.58, 102004,1929.6,0,1747,0,10531,7018,79461,96139,63.17,959,16384,61319,25,29,42,2,7,55,0.47,2.31,50.00,1007,18876,16111,64.00,169,1402,10223,3,5,9,0,2,10,0.67,0.00,0.00,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22450,57907,1.67,41,47044,30462,2,21,41,2,13,82,0.49,2.05,0.00,823,
