"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Nanashi",907,4.69,5,2.9,8.6,7,0,1,0,2,70,13,44,89,5,4,18,3,4,48,145078,201830,13814,1712,111500,1792.5,11591,1978,0,0,4356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14099,21752,78,184,547,13805,6,3,11,1,0,9,0.39,5.67,100,144,0,1,3,1,450.3,1363.5,2.7,95.6,-81.7,0.2,0.15,109415,126369,61.57,1180,4272,76978,41,16,41,3,38,40,0.48,5.13,71.43,1350,28.57,1.14,3.29,0.06,422.16,3530.05,-23.84,85.35,161.85,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21564,53709,10,83,8995,20717,3,10,34,9,6,40,0.55,3.7,50,218,0,0.5,1,-0.43,268.55,991.45,-35.05,61.2,108.2,0.15,0.1
"MicroDiamond",761,1.27,4.40,10.70,9.20,3,1,0,4,2,40,11, 30, 145, 14, 0, 20,3,9,44, 166540, 336666, 56331, 38.20, 118635,2124.9,6339,0,2136,8546,4228,83719,97189,59.25,769,12984,51716,21,44,35,2,13,50,0.48,1.27,50.00,440,0.00,1.25,1.75,0.24,296.70,1244.33,5.06,-44.20,-71.28,0.20,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53733,140747,58.33,456,28820,36219,17,34,14,4,4,45,0.34,0.91,33.33,1087,66.67,0.67,2.00,0.97,451.97,1196.43,36.43,-89.27,-119.07,0.19,0.20,14639,33473,0.00,67,6078,12117,6,12,7,1,5,3,0.48,1.08,0.00,501,0.00,1.00,3.00,-0.60,269.70,1154.20,-67.00,-19.20,158.40,0.18,0.13,14449,65257,6.50,52,8449,18583,0,17,36,4,8,47,0.46,2.12,50.00,264,0.00,0.00,0.00,0.50,250.25,899.00,35.43,95.85,22.85,0.14,0.06,
"Aetherion",700,1.52,4.40,6.90,6.10,0,4,0,5,1,20,0, 29, 78, 10, 1, 12,0,3,45, 151888, 229462, 39314, 51.28, 110797,1995.9,0,0,7964,10282,1713,91562,97484,71.20,1031,13800,61441,27,31,26,0,14,36,0.44,1.71,20.00,847,0.00,1.20,1.80,0.00,294.52,1094.30,4.87,-38.74,-28.31,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55551,112588,1.00,224,23575,42462,17,30,29,0,13,27,0.48,1.53,25.00,2001,0.00,0.75,1.25,-0.20,266.28,1633.05,-67.63,-194.22,23.50,0.19,0.15,4775,19390,10.00,32,1939,6894,0,8,6,0,2,15,0.32,0.75,0.00,229,0.00,0.00,0.00,-0.70,271.70,0,-45.65,-141.65,0,0.15,0.06,
"UpsetSloth",871,1.91,6.50,7.60,8.00,2,1,0,4,3,50,2, 14, 142, 7, 1, 25,5,4,43, 196140, 230784, 66395, 61.07, 113622,1898.6,3530,0,1638,7851,5967,89206,79420,48.25,620,10699,51130,40,30,20,1,4,48,0.41,2.00,50.00,878,0.00,2.25,3.00,0.47,294.07,1336.57,-16.13,16.68,-53.37,0.21,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34833,53466,64.00,316,30783,21015,8,15,13,0,3,22,0.46,1.40,50.00,519,0.00,0.50,1.50,1.90,483.45,2096.00,102.60,-84.60,-185.50,0.21,0.23,12715,23612,9.00,60,17203,11032,6,3,10,0,2,7,0.41,5.33,100.00,309,0.00,1.00,5.00,0.90,300.80,0,-15.20,111.20,0,0.18,0.13,59386,74286,8.67,143,7710,30445,11,28,37,1,5,65,0.46,1.71,33.33,1958,0.00,1.00,1.00,0.13,234.53,1329.40,-5.97,31.90,0.30,0.17,0.20,
"Rosen Shock",733,1.68,10.60,11.30,8.40,3,7,0,0,0,40,0, 33, 117, 11, 7, 17,0,6,48, 342863, 342795, 44611, 124.80, 155021,2454.3,7316,0,17227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96622,86174,55.67,422,2297,40879,13,28,21,0,7,30,0.27,1.21,66.67,2056,33.33,1.67,1.67,-0.10,410.47,1650.95,-14.80,-129.23,-210.60,0.17,0.18,246241,256621,2.00,459,42314,114142,93,85,63,0,26,87,0.57,1.84,28.57,5432,71.43,2.86,3.00,-0.04,245.61,1348.27,-67.31,-0.93,-28.93,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Sotofu",800,2.98,6.70,6.20,11.80,1,4,0,4,1,60,0, 18, 98, 9, 4, 20,0,5,56, 213305, 269010, 84274, 65.22, 125815,2031.2,1886,0,7845,8394,2187,100433,91305,52.00,628,24442,54066,37,25,39,0,5,29,0.55,3.04,75.00,647,0.00,2.50,3.00,0.57,281.92,1363.13,-1.91,-37.96,107.22,0.20,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21168,17503,62.00,177,9757,11904,4,2,8,0,5,8,0.39,6.00,100.00,86,0.00,1.00,2.00,2.30,499.20,1526.00,86.90,68.00,-26.20,0.19,0.25,76407,127582,0.25,332,45369,47539,25,30,41,0,5,41,0.55,2.20,25.00,2118,0.00,1.75,2.25,-0.28,325.70,1477.40,1.33,-15.53,-22.43,0.21,0.21,15297,32620,9.00,40,4706,12306,1,5,30,0,3,20,0.74,6.20,100.00,1062,0.00,0.00,0.00,1.30,279.90,1065.70,35.95,-104.55,60.15,0.17,0.14,
"TediousStar",639,1.33,5.60,7.60,4.50,5,5,0,0,0,10,4, 20, 71, 6, 1, 16,2,2,43, 140202, 345629, 45132, 151.87, 119093,2063.1,9576,0,11055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71804,170935,53.80,920,7223,54255,24,33,14,2,7,22,0.46,1.15,0.00,3750,20.00,1.00,1.60,-0.80,398.68,2719.65,-41.38,10.44,-48.45,0.22,0.21,68398,174694,1.00,454,37909,64838,32,43,31,2,13,49,0.41,1.47,20.00,5362,0.00,1.60,2.40,-0.08,318.42,1319.98,-29.58,-12.96,-37.54,0.20,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rugved",718,2.15,7.30,8.90,11.80,2,2,1,1,4,40,3, 40, 160, 5, 2, 18,4,3,61, 216901, 284713, 60145, 74.40, 130763,2032.8,4631,2100,3929,2064,7604,8449,32401,23.00,50,3968,10201,5,10,10,0,8,14,0.58,1.50,0.00,443,100.00,1.00,2.00,3.10,261.80,807.80,-42.95,-24.25,-42.20,0.18,0.11,24784,26456,68.00,202,3236,17033,10,9,8,0,3,10,0.53,2.00,100.00,325,0.00,3.00,3.00,2.70,405.80,1398.20,-35.20,-34.80,296.90,0.23,0.27,88299,76199,70.50,476,16454,37367,21,18,29,1,3,29,0.57,2.78,100.00,1401,50.00,1.50,3.00,3.10,496.45,1567.45,67.15,88.20,77.95,0.23,0.31,37257,61052,3.00,108,13088,24522,20,17,27,2,12,29,0.71,2.76,0.00,939,0.00,3.00,4.00,0.00,291.80,2060.50,-34.75,13.25,0.00,0.21,0.19,58112,88605,7.25,187,23399,41640,17,35,44,0,14,78,0.60,1.74,25.00,1356,50.00,0.50,1.00,-0.55,243.22,1272.97,-18.80,-41.79,4.10,0.19,0.18,
"Jmack13",868,2.61,6.10,5.60,8.50,2,5,0,3,0,70,0, 7, 56, 12, 1, 17,1,5,46, 210785, 284802, 79115, 65.15, 136577,2084.5,2945,0,11492,6408,0,63553,53226,58.00,710,8843,43608,21,19,28,0,1,18,0.49,2.58,66.67,247,0.00,1.67,3.33,0.27,284.23,1472.35,-1.67,12.05,2.70,0.22,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20231,38938,68.00,357,4890,17753,6,5,1,0,0,6,0.21,1.40,50.00,415,0.00,0.50,2.00,0.80,452.60,0,32.60,-12.75,0,0.22,0.20,127001,192638,0.00,520,65382,75216,34,32,56,0,6,32,0.49,2.81,80.00,3247,0.00,1.60,2.60,-0.26,341.78,1590.33,-7.76,103.40,-15.40,0.20,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Old Driver Kiri",859,2.55,5.40,5.80,9.40,0,2,0,5,3,50,4, 25, 117, 3, 1, 16,2,4,46, 155494, 253603, 45029, 126.72, 132852,2196,0,0,4785,10979,6196,114900,130234,54.20,996,13193,80419,49,38,37,3,11,59,0.51,2.26,40.00,1191,0.00,2.00,5.40,0.00,281.62,1183.62,-10.07,49.55,16.71,0.24,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27745,87247,3.00,174,18038,26160,5,11,31,0,7,22,0.65,3.27,50.00,6163,0.00,1.00,2.00,0.20,359.05,1229.75,-7.70,-121.35,0.20,0.19,0.14,12849,36122,5.00,36,13798,26273,0,9,26,1,7,36,0.26,2.89,66.67,249,0.00,0.00,0.00,0.42,269.47,1011.35,-19.83,21.62,57.25,0.14,0.05,
