"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"CheeseburgerJake",2.65,6.5,5.5,8.1,0,1,0,8,1,30,8,15,16,0,5,51,22.33
"dramoonzer",2.02,3.10,6.30,9.60,0,0,0,2,8,30,8,2,14,2,1,56,38.83
"Elucide",3.67,6.10,3.90,8.20,3,2,4,1,0,40,29,7,18,2,2,59,174.78
"beauxbeltran",2.91,4.70,4.50,8.40,1,1,3,5,0,50,5,9,17,5,5,52,68.27
"Terracubist",2.30,1.40,6.30,13.10,0,1,0,0,9,40,15,6,17,0,4,43,66.20
"imperialchina",1.98,1.80,5.80,9.70,0,0,3,0,7,50,0,5,17,8,4,42,27.20
"Kin",2.68,3.00,6.60,14.70,1,0,0,1,8,50,25,5,14,1,0,59,64.07
"HeadGam3z",5.37,2.20,2.70,12.30,0,0,0,1,9,50,6,4,15,2,5,52,82.45
"ZeroLamperouge",2.20,9.00,8.70,10.10,0,5,0,5,0,40,9,5,22,1,2,55,58.48
"Sube",2.76,6.40,5.00,7.40,0,0,5,4,1,50,0,16,19,5,6,48,46.72
"Knight Japollo",2.21,1.90,7.80,15.30,0,0,0,1,9,40,0,8,23,2,1,55,28.30
"Materium",1.71,4.40,5.90,5.70,6,3,0,0,1,40,6,14,19,1,1,39,114.70
"Psygeese",3.24,3.90,2.10,2.90,0,0,3,0,0,67,1,4,4,1,2,61,24.38
"sexy trash",1.32,3.90,7.30,5.70,0,0,4,5,1,20,0,6,12,0,1,43,30.37
"Zyji",1.59,3.80,6.40,6.40,1,3,0,3,1,25,0,4,4,1,4,48,27.03
"Blooregard QKazo",2.27,4.80,5.20,7.00,0,6,3,0,1,60,12,3,12,4,3,41,141.42
"AngryBird63",2.24,4.30,4.90,6.70,6,1,0,0,3,40,12,3,8,2,1,47,161.72
"TheAceOfCraze",3.53,4.30,3.20,7.00,6,0,4,0,0,30,7,14,14,3,5,46,149.55
"EstrellaLand",2.30,7.90,7.30,8.90,1,2,6,1,0,50,11,9,13,1,4,54,69.10
"Kim Jong Rodman",2.72,3.90,4.70,8.90,0,3,0,7,0,40,11,9,10,1,1,51,63.93
"JoshyyD",2.69,8.10,5.40,6.40,2,0,1,7,0,40,0,14,13,4,2,58,43.05
"Bielskis1",1.77,5.80,7.30,7.10,5,4,1,0,0,50,6,13,17,2,4,42,110.02
"AABBCC",2.05,5.70,6.10,6.80,6,4,0,0,0,40,10,5,13,3,4,56,103.83
"PandaEcstasy",1.83,4.90,6.90,7.70,1,5,4,0,0,40,2,6,16,5,2,51,72.55
"CUTLAZ",3.83,9.30,4.80,9.10,0,6,1,2,1,30,14,12,13,2,3,64,89.22
"EDG baron",2.32,4.50,5.60,8.50,1,6,2,1,0,30,11,2,12,2,1,57,78.32
"xXoX iAkOuL XoXx",2.15,3.80,5.30,7.60,3,5,2,0,0,40,10,9,16,1,2,48,71.75
