"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"CheeseburgerJake",2.14,6,7.6,10.3,4,0,1,3,2,20,9,10,12,1,4,50,70.2,2209
"dramoonzer",2.37,2.30,5.20,10.00,0,0,0,1,9,40,9,2,17,3,3,54,28.75,1994.6
"Elucide",2.96,4.80,4.80,9.40,4,5,0,0,1,50,27,10,11,3,2,61,82.77,1918.7
"beauxbeltran",2.24,4.00,4.90,7.00,0,8,2,0,0,30,10,2,10,1,3,53,123.65,1887.4
"Terracubist",2.30,1.40,6.30,13.10,0,1,0,0,9,40,15,6,17,0,4,43,66.20,2088.4
"imperialchina",1.89,1.60,5.50,8.80,0,0,2,2,6,30,0,3,12,5,2,40,30.85,1947.1
"Kin",2.79,4.60,6.60,13.80,1,0,3,1,5,30,21,8,14,1,1,60,102.73,2412.4
"HeadGam3z",5.37,2.20,2.70,12.30,0,0,0,1,9,50,6,4,15,2,5,52,82.45,1964.1
"ZeroLamperouge",2.80,8.30,6.50,9.90,0,1,0,9,0,60,8,15,20,3,4,51,32.40,2004.2
"Sube",2.57,6.60,6.00,8.80,0,0,4,6,0,50,0,11,18,3,2,49,46.05,2086.1
"Knight Japollo",2.21,1.90,7.80,15.30,0,0,0,1,9,40,0,8,23,2,1,55,28.30,1932.2
"Materium",1.91,3.00,5.30,7.10,2,7,0,0,1,30,8,12,15,4,1,42,167.43,1946.7
"Psygeese",2.73,9.90,6.70,8.40,3,0,6,1,0,40,0,15,20,2,7,54,64.17,2346.7
"sexy trash",1.32,3.90,7.30,5.70,0,0,4,5,1,20,0,6,12,0,1,43,30.37,1743.7
"Zyji",1.59,3.80,6.40,6.40,1,3,0,3,1,25,0,4,4,1,4,48,27.03,1845.75
"Blooregard QKazo",1.07,3.90,6.00,2.50,1,2,2,5,0,10,6,4,7,1,1,34,48.08,1888.1
"AngryBird63",2.06,7.40,7.10,7.20,10,0,0,0,0,50,10,6,10,1,2,46,313.77,2180.3
"TheAceOfCraze",2.67,5.00,4.60,7.30,4,2,3,0,1,50,17,12,15,2,1,47,38.38,1702.7
"EstrellaLand",2.56,7.60,5.40,6.20,0,2,2,6,0,40,3,15,12,3,1,56,34.50,1837
"Kim Jong Rodman",2.72,3.90,4.70,8.90,0,3,0,7,0,40,11,9,10,1,1,51,63.93,1863.1
"JoshyyD",2.69,8.10,5.40,6.40,2,0,1,7,0,40,0,14,13,4,2,58,43.05,1850.4
"Bielskis1",3.30,5.40,4.70,10.10,2,5,1,0,2,50,6,3,16,1,2,56,49.02,1805.5
"AABBCC",2.05,5.70,6.10,6.80,6,4,0,0,0,40,10,5,13,3,4,56,103.83,1756.4
"PandaEcstasy",1.23,3.80,8.10,6.20,0,4,2,4,0,20,0,7,10,5,2,43,101.93,1850.2
"CUTLAZ",2.59,5.80,4.10,4.80,1,3,0,6,0,30,2,14,13,4,0,46,38.15,1905.7
"EDG baron",2.92,5.60,5.10,9.30,0,6,2,2,0,40,15,3,15,2,2,58,80.98,1925
"xXoX iAkOuL XoXx",2.43,5.60,6.50,10.20,5,3,0,0,2,30,11,12,14,0,3,52,60.47,2147.9
"Tricky n Such",2.55,6.70,5.50,7.30,2,0,1,7,0,40,0,6,20,4,4,51,51.13,2172.7
"Saddong Hussein",2.14,6.70,5.70,5.50,0,0,4,6,0,30,0,11,12,1,0,47,35.23,1766.1
"ROX Peanutt",1.73,4.80,8.80,10.40,3,1,6,0,0,40,2,6,19,1,4,50,46.32,1909.1
"kbreeezy",2.61,8.40,6.10,7.50,1,1,3,4,1,70,1,9,15,3,4,48,60.72,1886.6
"FG Lynx",1.56,9.70,10.30,6.40,3,4,2,1,0,40,0,7,17,2,2,52,268.82,1983.3
"Gustii",2.81,6.70,5.90,9.90,2,8,0,0,0,60,6,5,29,1,5,47,96.67,2114.3
"Bonbonagaz",1.79,4.60,8.20,10.10,4,0,1,2,3,50,16,17,16,2,6,45,114.67,2173.4
"Noobsnack",2.55,10.60,8.20,10.30,2,2,1,5,0,50,0,18,19,2,4,60,98.32,2109.6
"Goronfighter",2.88,4.80,5.10,9.90,3,2,2,0,3,50,16,4,11,2,5,54,100.98,1986
"Sally N Adolphs",2.50,5.80,7.00,11.70,0,2,3,5,0,40,3,9,12,2,4,54,96.58,2415.5
