"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"CheeseburgerJake",3.47,4.3,4.5,11.3,0,3,3,2,2,30,16,21,174,10,1,17,2,1,55,183186,165861,26470,4769,119304,1987
"dramoonzer",2.59,2.10,4.90,10.60,3,0,0,0,7,40,8, 20, 197, 5, 0, 16,1,2,51, 74320, 198629, 43242, 48.53, 93550,1943
"Elucide",3.02,5.70,4.20,7.00,4,3,2,0,1,40,23, 27, 112, 12, 1, 11,0,1,54, 167384, 241226, 62086, 128.68, 110112,1811.7
"beauxbeltran",1.85,3.10,6.10,8.20,5,0,5,0,0,40,7, 7, 104, 8, 2, 21,2,5,44, 197504, 241138, 35727, 97.20, 122748,2155.5
"Terracubist",2.30,1.40,6.30,13.10,0,1,0,0,9,40,15, 30, 186, 6, 0, 17,0,4,43, 93280, 204228, 20197, 66.20, 105397,2088.4
"imperialchina",2.09,2.00,4.70,7.80,0,0,1,1,8,20,0, 11, 127, 3, 0, 8,2,2,46, 90514, 155354, 21215, 51.22, 82836,1798.3
"Kin",2.35,5.50,5.70,7.90,1,0,2,6,1,40,5, 32, 102, 12, 0, 14,1,3,54, 222882, 174759, 34397, 44.07, 124824,2048.6
"HeadGam3z",5.37,2.20,2.70,12.30,0,0,0,1,9,50,6, 34, 203, 4, 0, 15,2,5,52, 112243, 180846, 37883, 82.45, 100326,1964.1
"ZeroLamperouge",2.08,5.40,7.90,11.00,0,3,0,4,3,30,13, 17, 116, 6, 0, 15,1,0,59, 169600, 231524, 113299, 64.18, 109049,1994.4
"Sube",2.57,6.60,6.00,8.80,0,0,4,6,0,50,0, 12, 111, 11, 0, 18,3,2,49, 222092, 206730, 29390, 46.05, 132144,2086.1
"Knight Japollo",2.21,1.90,7.80,15.30,0,0,0,1,9,40,0, 15, 110, 8, 0, 23,2,1,55, 117549, 283812, 42161, 28.30, 93428,1932.2
"Materium",2.33,3.80,4.50,6.70,3,5,0,0,2,40,10, 19, 113, 15, 3, 12,3,0,44, 150187, 344287, 68533, 143.72, 116213,1955.4
"Psygeese",2.41,7.60,6.10,7.10,2,0,6,2,0,60,0, 8, 93, 12, 1, 17,0,6,45, 263453, 230087, 28256, 51.80, 129058,1951.4
"sexy trash",1.32,3.90,7.30,5.70,0,0,4,5,1,20,0, 7, 111, 6, 1, 12,0,1,43, 157710, 155295, 18741, 30.37, 100848,1743.7
"Zyji",1.59,3.80,6.40,6.40,1,3,0,3,1,25,0, 8, 114, 4, 2, 4,1,4,48, 97032, 181925, 34717, 27.03, 82987,1845.75
"Blooregard QKazo",1.07,3.90,6.00,2.50,1,2,2,5,0,10,6, 26, 90, 4, 1, 7,1,1,34, 116180, 190979, 32228, 48.08, 104480,1888.1
"AngryBird63",2.10,8.50,8.00,8.30,9,0,1,0,0,40,9, 16, 114, 7, 1, 9,0,2,49, 249343, 348479, 42099, 316.28, 150264,2320.4
"TheAceOfCraze",4.21,5.70,2.80,6.10,5,3,1,1,0,70,15, 14, 97, 11, 3, 20,2,4,44, 153151, 197562, 47036, 79.93, 129524,1952.5
"EstrellaLand",2.82,9.30,6.70,9.60,0,1,3,6,0,60,8, 4, 108, 20, 3, 17,3,4,56, 242778, 218372, 31330, 36.62, 132955,1986.7
"Kim Jong Rodman",2.72,3.90,4.70,8.90,0,3,0,7,0,40,11, 17, 112, 9, 0, 10,1,1,51, 125570, 182166, 27367, 63.93, 105010,1863.1
"JoshyyD",2.69,8.10,5.40,6.40,2,0,1,7,0,40,0, 12, 71, 14, 0, 13,4,2,58, 238472, 193501, 34491, 43.05, 124158,1850.4
"Bielskis1",2.20,3.90,5.60,8.40,2,6,0,0,2,20,15, 46, 161, 1, 0, 10,0,1,51, 145730, 227557, 51817, 64.37, 98939,1871.1
"AABBCC",1.60,5.00,6.80,5.90,6,4,0,0,0,30,8, 15, 99, 3, 1, 12,4,3,53, 157977, 254007, 41870, 94.90, 98447,1806.5
"PandaEcstasy",1.23,3.80,8.10,6.20,0,4,2,4,0,20,0, 14, 51, 7, 1, 10,5,2,43, 168377, 222866, 53688, 101.93, 101698,1850.2
