"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"CheeseburgerJake",2.4,4.2,4.3,6.1,2,1,3,4,0,30,11,5,131,2,1,10,2,1,46,123611,156065,21045,2512,94938,1706.1,3156,4683,1962,7260,0,55150,67289,44.75,518,10555,38660,17,25,31,1,3,50,0.56,1.92,0,338,35687,38441,60.33,393,3987,26062,12,12,13,5,0,39,0.46,0,33.33,110,23123,27044,45,285,2282,20759,11,3,15,3,0,26,0.36,8.67,100,1280,9651,23291,1,58,4221,9457,2,3,2,2,2,16,0.31,1.33,0,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dramoonzer",2.59,2.10,4.90,10.60,3,0,0,0,7,40,8, 20, 197, 5, 0, 16,1,2,51, 74320, 198629, 43242, 48.53, 93550,1943,5151,0,0,0,14279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34641,66334,43.67,355,10670,28510,11,19,21,3,1,37,0.38,1.68,33.33,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39679,132295,6.29,143,32572,65040,10,30,85,5,19,160,0.59,3.17,42.86,1531,
"Elucide",3.22,5.90,4.60,8.90,5,1,3,0,1,50,27, 36, 136, 15, 1, 20,2,5,55, 202904, 238291, 58499, 171.27, 125221,2016.8,10408,6276,2205,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76121,45588,56.33,632,4314,39667,18,13,31,7,6,45,0.69,0.00,33.33,5448,95900,141643,60.00,1029,44224,66513,29,23,51,14,22,68,0.46,3.48,80.00,3517,28251,41208,8.00,68,9227,14799,12,6,6,5,6,6,0.82,3.00,0.00,1230,2632,9852,8.00,23,734,4242,0,4,1,1,2,17,0.33,0.25,0.00,81,
"beauxbeltran",1.72,3.80,5.70,6.00,5,0,3,2,0,40,4, 4, 64, 4, 2, 16,1,4,41, 219770, 188667, 16681, 40.18, 116471,1995.6,10550,5670,0,3736,0,36896,41179,55.50,369,5511,21176,8,16,12,0,0,5,0.49,1.25,0.00,266,56154,51392,63.33,657,3462,34413,12,15,12,2,4,26,0.44,0.00,33.33,544,126720,96096,63.00,1058,7708,60882,18,26,36,2,0,33,0.38,2.08,60.00,1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Terracubist",2.30,1.40,6.30,13.10,0,1,0,0,9,40,15, 30, 186, 6, 0, 17,0,4,43, 93280, 204228, 20197, 66.20, 105397,2088.4,0,0,1814,0,19070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8913,26746,8.00,62,4285,10233,1,7,14,2,5,6,0.39,2.14,100.00,646,84367,177482,6.44,393,15912,95164,13,56,117,13,25,180,0.44,2.32,33.33,3326,
"imperialchina",3.39,1.60,4.10,12.30,0,0,0,0,10,50,6, 35, 207, 3, 1, 17,2,4,48, 59695, 172536, 30412, 72.05, 94693,1982.4,0,0,0,0,19824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59695,172536,6.60,275,30412,94693,16,41,123,6,35,207,0.48,3.39,50.00,4323,
"Kin",2.64,7.50,6.40,9.40,1,0,1,7,1,50,4, 28, 101, 15, 1, 15,1,4,59, 257609, 205878, 43847, 32.20, 134601,2118.7,2897,2301,0,13870,2119,149258,109996,59.00,1294,19051,91336,47,41,58,0,19,48,0.56,2.56,57.14,890,31261,24608,54.00,179,4248,13033,6,8,13,0,2,13,0.59,0.00,0.00,543,61761,54110,46.00,207,12184,20680,20,11,19,0,2,18,0.71,3.55,100.00,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15329,17164,0.00,17,8364,9552,2,4,4,4,5,22,0.40,1.50,0.00,108,
"HeadGam3z",5.37,2.20,2.70,12.30,0,0,0,1,9,50,6, 34, 203, 4, 0, 15,2,5,52, 112243, 180846, 37883, 82.45, 100326,1964.1,0,0,0,1688,17953,15720,8582,12.00,70,199,8793,5,3,5,0,1,9,0.71,3.33,0.00,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96523,172264,8.56,384,37684,91533,17,24,118,6,33,194,0.51,5.63,55.56,4733,
"ZeroLamperouge",2.19,5.40,7.40,10.80,0,2,0,7,1,30,12, 16, 86, 8, 2, 20,1,4,53, 202130, 230961, 46246, 138.82, 116328,1987.1,0,0,3589,14359,1923,171089,144104,51.86,1230,26316,89549,44,43,82,9,14,66,0.53,2.93,42.86,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22354,66434,1.00,81,7585,18161,8,21,16,0,1,11,0.51,1.14,0.00,6531,8687,20423,0.00,11,12345,8618,2,10,10,3,1,9,0.60,1.20,0.00,310,
"Sube",2.57,6.60,6.00,8.80,0,0,4,6,0,50,0, 12, 111, 11, 0, 18,3,2,49, 222092, 206730, 29390, 46.05, 132144,2086.1,0,8756,0,12105,0,132847,115229,67.50,1105,18888,77277,38,30,52,0,10,61,0.49,3.00,50.00,1477,89245,91501,58.25,761,10502,54867,28,30,36,0,2,50,0.48,0.00,50.00,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Knight Japollo",2.21,1.90,7.80,15.30,0,0,0,1,9,40,0, 15, 110, 8, 0, 23,2,1,55, 117549, 283812, 42161, 28.30, 93428,1932.2,0,0,0,2346,16976,9384,39201,18.00,62,5381,10322,2,10,18,0,3,24,0.61,2.00,0.00,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108165,244611,10.67,345,36780,83106,17,68,135,0,12,86,0.54,2.24,44.44,1595,
"Materium",2.53,4.20,3.80,5.40,7,3,0,0,0,70,10, 16, 91, 13, 4, 17,2,0,38, 168593, 324006, 51501, 116.45, 122503,1903,13181,0,5849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141031,228905,66.71,1540,26210,88322,34,23,32,7,3,55,0.35,2.87,85.71,3315,27562,95101,6.33,226,25291,34181,8,15,22,3,13,36,0.45,2.00,33.33,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Psygeese",2.56,7.50,5.70,7.10,1,0,9,0,0,60,0, 8, 86, 9, 1, 15,6,3,56, 216686, 168330, 15156, 83.08, 110384,1685.7,1844,15013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194289,138323,56.44,1333,7389,98030,69,54,65,0,6,76,0.56,0.00,55.56,4516,22397,30007,76.00,206,7767,12354,6,3,6,0,2,10,0.55,4.00,100.00,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Zyji",1.59,3.80,6.40,6.40,1,3,0,3,1,25,0, 8, 114, 4, 2, 4,1,4,48, 97032, 181925, 34717, 27.03, 82987,1845.75,1694,0,5075,5588,2409,44110,60457,49.00,375,10626,31321,17,23,19,0,3,34,0.46,1.57,0.00,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14427,18276,44.00,110,1932,12049,9,6,6,0,1,9,0.45,2.50,100.00,604,28808,68585,8.67,131,13921,26932,10,27,20,0,3,47,0.46,1.11,0.00,735,9687,34607,3.00,19,8238,12685,2,8,19,0,1,24,0.57,2.63,100.00,143,
"Blooregard QKazo",1.07,3.90,6.00,2.50,1,2,2,5,0,10,6, 26, 90, 4, 1, 7,1,1,34, 116180, 190979, 32228, 48.08, 104480,1888.1,1221,4440,3164,10056,0,60183,85527,57.40,875,9900,57359,22,27,13,0,7,45,0.30,1.30,20.00,999,41377,44701,52.50,356,3652,24376,12,15,8,1,7,28,0.49,0.00,0.00,420,5228,13763,52.00,109,1211,5693,1,5,0,0,1,5,0.11,0.20,0.00,298,9392,46988,2.50,151,17465,17052,4,13,4,5,11,12,0.32,0.62,0.00,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
