"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"dramoonzer",633,2.59,2.1,4.9,10.6,3,0,0,0,7,40,8,20,197,5,0,16,1,2,51,74320,198629,43242,2912,93550,1943,5151,0,0,0,14279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34641,66334,43.67,355,10670,28510,11,19,21,3,1,37,0.38,1.68,33.33,1381,0,1,1.33,-1.27,349.5,1607.75,-66.23,-145.33,-37.85,0.19,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39679,132295,6.29,143,32572,65040,10,30,85,5,19,160,0.59,3.17,42.86,1531,14.29,0.14,0.57,0.24,269.73,1175.97,6.34,-3.41,-27.89,0.16,0.07
"Elucide",800,4.82,5.60,3.40,10.80,8,2,0,0,0,100,28, 38, 135, 22, 6, 27,5,7,51, 163159, 271204, 87713, 111.80, 135403,2040.4,16385,0,4019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135531,222610,59.13,1641,64815,107496,45,28,87,21,26,113,0.49,4.71,100.00,5846,12.50,1.75,2.75,0.88,413.83,2326.38,12.86,45.40,85.78,0.20,0.18,27628,48594,11.00,175,22898,27907,11,6,21,7,12,22,0.58,5.33,100.00,862,50.00,2.00,2.00,0.90,386.35,1328.55,98.85,-86.90,142.50,0.21,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"beauxbeltran",642,2.88,5.80,4.10,6.00,7,1,2,0,0,50,5, 9, 88, 14, 5, 21,0,4,42, 223398, 258755, 30712, 90.90, 124869,2048.2,14655,3860,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42939,39513,53.00,357,6008,23185,11,6,12,1,3,16,0.43,3.83,50.00,285,0.00,1.00,3.50,-2.65,447.10,1449.00,22.05,-49.65,-19.55,0.21,0.26,164810,192839,57.29,1449,19810,91416,42,28,43,4,5,63,0.43,3.04,57.14,5108,0.00,1.14,4.29,-0.43,436.64,2121.98,-13.46,120.71,-21.10,0.21,0.26,15649,26403,48.00,5,4894,10268,5,7,5,0,1,9,0.34,1.43,0.00,61,0.00,1.00,3.00,0.00,393.60,1153.30,0.00,0.00,0.00,0.19,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Terracubist",609,2.30,1.40,6.30,13.10,0,1,0,0,9,40,15, 30, 186, 6, 0, 17,0,4,43, 93280, 204228, 20197, 66.20, 105397,2088.4,0,0,1814,0,19070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8913,26746,8.00,62,4285,10233,1,7,14,2,5,6,0.39,2.14,100.00,646,0.00,0.00,0.00,0.20,326.10,1101.10,108.60,-87.70,44.00,0.17,0.10,84367,177482,6.44,393,15912,95164,13,56,117,13,25,180,0.44,2.32,33.33,3326,0.00,0.22,0.89,-0.24,265.12,1017.72,-44.57,-3.31,60.14,0.17,0.09,
"Kin",651,2.58,7.20,6.60,9.80,1,0,2,6,1,40,4, 25, 99, 10, 1, 17,1,2,58, 244507, 214065, 45849, 30.82, 128148,2095,2897,4300,0,11634,2119,100917,97555,57.50,1084,18108,72932,34,35,52,0,15,41,0.54,2.46,50.00,451,0.00,1.67,2.50,0.00,297.87,1869.83,-4.13,-12.76,-2.25,0.21,0.20,66500,45236,49.50,299,7193,24984,16,16,23,0,3,18,0.62,2.44,0.00,899,0.00,3.00,2.50,-1.60,439.35,1224.00,-2.00,-52.85,-35.25,0.20,0.30,61761,54110,46.00,207,12184,20680,20,11,19,0,2,18,0.71,3.55,100.00,391,0.00,4.00,11.00,0.00,342.90,1539.60,0.00,0.00,0.00,0.23,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15329,17164,0.00,17,8364,9552,2,4,4,4,5,22,0.40,1.50,0.00,108,0.00,1.00,2.00,0.55,317.90,1051.90,9.85,-7.35,-80.80,0.17,0.17,
"imperialchina",645,2.67,1.70,4.90,11.40,1,0,0,0,9,40,19, 38, 232, 5, 0, 16,1,5,50, 86543, 204481, 23335, 123.08, 102500,2223.8,1828,0,0,0,20410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15433,14226,77.00,180,4098,11807,4,4,4,2,2,8,0.27,2.00,100.00,2789,0.00,1.00,2.00,0.80,464.00,1293.00,18.00,-3.20,51.70,0.20,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71110,190255,11.44,367,19237,90693,13,45,110,17,36,224,0.53,2.73,33.33,4596,0.00,0.22,0.44,0.04,255.48,1280.44,-17.79,-53.01,-38.05,0.15,0.07,
"HeadGam3z",600,5.37,2.20,2.70,12.30,0,0,0,1,9,50,6, 34, 203, 4, 0, 15,2,5,52, 112243, 180846, 37883, 82.45, 100326,1964.1,0,0,0,1688,17953,15720,8582,12.00,70,199,8793,5,3,5,0,1,9,0.71,3.33,0.00,214,0.00,2.00,3.00,0.00,282.80,0,-68.70,31.15,0,0.22,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96523,172264,8.56,384,37684,91533,17,24,118,6,33,194,0.51,5.63,55.56,4733,0.00,0.56,1.22,0.29,280.21,1581.52,0.82,37.12,12.10,0.17,0.12,
"ZeroLamperouge",636,2.65,8.20,8.10,13.30,0,3,0,7,0,50,10, 22, 91, 7, 2, 27,4,4,62, 253003, 265981, 39398, 36.92, 126403,2033,0,0,5373,14957,0,215818,180130,54.00,1118,24781,97376,66,62,107,9,15,66,0.65,2.79,57.14,1205,14.29,2.71,4.00,0.00,315.49,1761.30,10.95,-26.39,-11.73,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37185,85851,1.33,136,14617,29027,16,19,26,1,7,25,0.53,2.21,33.33,1010,33.33,1.67,2.33,0.10,256.33,2618.20,-53.47,46.87,-165.20,0.19,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Sube",667,2.57,6.60,6.00,8.80,0,0,4,6,0,50,0, 12, 111, 11, 0, 18,3,2,49, 222092, 206730, 29390, 46.05, 132144,2086.1,0,8756,0,12105,0,132847,115229,67.50,1105,18888,77277,38,30,52,0,10,61,0.49,3.00,50.00,1477,0.00,1.50,3.50,0.00,293.77,1344.34,-10.42,-4.98,42.73,0.21,0.23,89245,91501,58.25,761,10502,54867,28,30,36,0,2,50,0.48,2.13,50.00,1286,0.00,2.00,2.75,-1.03,412.65,1617.47,-32.85,7.33,-28.20,0.20,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Knight Japollo",600,2.21,1.90,7.80,15.30,0,0,0,1,9,40,0, 15, 110, 8, 0, 23,2,1,55, 117549, 283812, 42161, 28.30, 93428,1932.2,0,0,0,2346,16976,9384,39201,18.00,62,5381,10322,2,10,18,0,3,24,0.61,2.00,0.00,103,0.00,0.00,0.00,0.00,243.50,852.20,-22.20,-102.60,-53.95,0.16,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108165,244611,10.67,345,36780,83106,17,68,135,0,12,86,0.54,2.24,44.44,1595,0.00,0.22,0.78,0.07,251.51,1684.65,-18.93,33.22,-70.88,0.16,0.12,
