"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"omgcrayolamarker",2.14,3.5,6.5,10.4,0,2,2,2,4,30,19,1,18,3,1,52,168.23
"TylerM xDD",2.11,4.60,6.50,9.10,0,2,4,0,4,30,0,5,16,3,0,51,70.60
"Alinabot",2.61,6.50,6.20,9.70,5,0,2,0,3,60,10,9,14,8,2,53,78.40
"kachinba",2.14,8.50,7.60,7.80,1,1,2,6,0,50,1,10,21,2,1,49,48.22
"Zjx Victor",1.69,4.30,7.20,7.90,3,2,0,5,0,20,0,11,10,1,1,47,60.37
"pi314159",3.00,5.30,6.40,13.90,2,0,0,3,5,70,8,6,27,3,5,58,28.68
"ToastyBagelz",2.79,6.70,5.20,7.80,4,5,0,1,0,40,11,17,20,2,2,53,107.65
"Puck689",2.14,5.00,5.60,7.00,1,4,2,0,3,30,4,3,10,2,4,50,62.07
"Fryingpanboy",3.41,0.80,4.60,14.90,0,0,0,0,10,80,0,5,26,6,6,51,24.35
"mania3x",5.59,10.20,3.20,7.70,0,8,0,2,0,100,2,14,25,0,0,56,176.15
"BIG BIG XI",2.02,9.30,8.70,8.30,2,0,5,3,0,40,0,10,17,1,5,53,32.42
"MightyMouseMatt",1.60,5.70,8.10,7.30,0,3,4,2,1,20,0,2,13,1,1,42,99.40
"FurryFluffyFoxy",2.54,4.40,4.80,7.80,2,5,0,2,1,60,6,6,18,4,2,46,76.25
"DaBaier",4.00,1.80,3.90,13.80,1,0,0,1,8,100,21,11,26,6,3,46,65.00
"Finessen God",2.03,7.90,6.70,5.70,1,3,0,6,0,30,0,4,10,0,3,53,64.32
"Pepper Eater",2.14,7.70,5.70,4.50,1,6,3,0,0,50,9,1,11,4,2,46,64.07
"wingdagger7",2.18,3.90,6.20,9.60,2,1,3,0,4,50,22,5,18,4,6,45,74.98
"PandaTV XIA",2.02,7.30,8.30,9.50,9,0,1,0,0,50,0,6,14,1,5,49,114.47
"wbh520",3.21,2.30,4.30,11.50,0,0,0,1,9,40,0,3,15,3,1,45,18.53
"Vexdra",2.78,5.30,5.10,8.90,0,3,0,6,1,40,8,5,18,2,3,46,48.98
"PaPaPa Feeder",3.74,10.60,5.80,11.10,1,3,0,6,0,50,1,14,19,4,4,60,50.78
"Spooky Tooth",1.97,5.50,6.00,6.30,5,1,4,0,0,20,12,3,16,1,1,43,66.85
"Snoop Dongg",1.78,1.40,5.50,8.40,2,0,0,0,8,20,9,3,8,1,3,45,55.92
"Titlenamehere",3.73,6.10,4.00,8.80,4,2,1,3,0,50,9,19,23,1,4,43,90.27
"Magikarpolio",1.77,4.70,6.40,6.60,5,0,4,0,1,20,0,1,11,1,5,46,43.05
"Lulö",1.69,5.90,7.40,6.60,3,0,6,0,1,60,0,6,13,2,4,37,26.17
"BosnianxBeast",1.85,8.10,6.70,4.30,4,0,6,0,0,40,0,12,11,0,2,42,27.32
"Cody Banks",3.58,8.90,5.70,11.50,3,0,3,3,1,60,8,7,20,1,3,55,47.17
"Waw",2.35,10.70,7.20,6.20,7,2,1,0,0,60,0,13,14,1,2,53,67.68
"zJessez",1.82,6.30,6.80,6.10,2,1,1,3,3,30,5,12,16,2,2,42,207.85
"anaBROLICus",1.98,9.90,9.70,9.30,3,2,3,2,0,50,0,12,23,1,4,52,73.53
"krushee",2.64,6.10,5.90,9.50,2,2,0,1,5,50,0,6,19,4,3,49,45.43
"778582",2.05,2.50,7.40,12.70,1,1,0,0,8,50,22,4,15,1,3,50,90.88
"DoYouEvenVirgin",2.71,2.90,4.10,8.20,0,1,1,0,4,67,3,4,10,0,4,54,60.22
"Lee Sin er G",2.60,8.80,6.00,6.80,3,1,6,0,0,50,15,12,15,2,3,47,32.82
"halla4allah",3.45,6.40,4.00,7.40,0,1,3,4,2,30,13,11,14,4,4,55,48.83
"Wolfslashfox",2.09,7.00,5.50,4.50,0,0,3,7,0,50,2,7,15,0,2,49,22.63
"Phroxin",2.17,3.80,8.10,13.80,0,1,0,0,9,40,19,6,23,1,1,54,125.42
"souken cat ",1.92,5.60,6.20,6.30,4,2,3,1,0,50,2,10,17,3,1,44,91.20
"entarro",2.34,5.90,5.30,6.50,5,0,0,4,1,40,5,7,12,3,2,39,89.98
"Music4thasoul",2.57,11.20,7.00,6.80,6,1,3,0,0,70,0,14,23,1,7,51,64.17
"Screw this kid",1.77,1.20,6.00,9.40,0,1,1,3,5,40,20,4,15,2,2,37,44.37
"ZxPENTAKILLxZ",2.35,6.00,5.70,7.40,1,0,5,2,2,40,4,6,12,3,2,50,63.18
"stealthyjason",2.38,5.80,6.00,8.50,1,0,6,1,2,40,12,6,10,0,2,54,290.45
"uthrilla",1.96,5.80,7.80,9.50,0,2,3,5,0,50,0,11,15,3,5,49,63.82
"PrismEntity",3.98,1.50,4.60,16.80,0,0,0,0,10,80,12,1,13,1,6,64,25.15
"LovableRussian",2.12,4.30,6.70,9.90,2,5,0,1,2,40,6,5,15,2,4,51,117.47
"vETv",0.99,4.90,9.40,4.40,5,1,3,0,1,10,3,4,7,1,0,40,19.75
"ShoulderToCry",3.26,5.20,3.90,7.50,6,2,2,0,0,40,6,9,19,2,7,45,101.70
"DunkinHymens",2.73,4.20,5.10,9.70,0,6,0,1,3,40,2,3,5,1,3,52,67.18
"JelloBuns",5.11,4.60,3.60,13.80,6,1,0,1,2,60,11,5,16,1,6,53,75.32
"Calfbrah",2.98,6.00,4.90,8.60,7,0,3,0,0,60,8,9,21,3,3,50,153.78
"Polite Heathen",2.57,5.70,5.60,8.70,9,0,0,1,0,20,0,3,16,0,0,51,82.95
"OhaiyouUW",5.03,5.10,3.40,12.00,5,2,0,3,0,80,13,14,22,2,5,57,42.55
"BLCabeldank",1.93,5.00,6.80,8.10,5,3,2,0,0,40,11,7,14,1,4,45,61.75
"Insignia12",2.14,6.10,5.60,5.90,3,4,2,1,0,30,12,6,13,2,1,48,95.77
