SummonerName,KDA,AvgKills,AvgDeaths,AvgAssists,TOP_played,JUNGLE_played,MID_played,ADC_played,SUPPORT_played,WinRate,VisionWards,WardsKilled,WardsPlaced,TowersKilled,InhibitorKills,DragonsKilled,RiftHeraldKilled,BaronKilled,KillContribution,TotalDamageDealtToChampions,TotalDamageTaken,TotalHeal,CCDuration,GoldEarned,AvgGameLength
omgcrayolamarker,2.14,3.5,6.5,10.4,0,2,2,2,4,30,19,21,164,1,1,18,3,1,52,121719,253146,56230,10094,102613,1974
TylerM xDD,1.66,3.8,7,7.8,0,3,2,1,4,40,0,26,119,5,0,13,0,1,51,127032,158523,18876,45.5,94576,1811.2
Alinabot,2.61,6.5,6.2,9.7,5,0,2,0,3,60,10,29,149,9,3,14,8,2,53,199795,276379,89291,78.4,132148,1958.8
kachinba,1.32,4.6,6.6,4.1,6,0,0,4,0,60,1,5,71,13,2,13,3,3,32,181917,179166,13102,33.88,112379,1858.4
Zjx Victor,1.69,4.3,7.2,7.9,3,2,0,5,0,20,0,5,83,11,1,10,1,1,47,152099,238281,27933,60.37,104396,1918.4
pi314159,2.27,3.5,6,10.1,7,1,0,0,2,70,13,14,153,7,0,16,6,3,48,129756,260361,70943,65.1,107475,1955.2
ToastyBagelz,5.46,3.2,2.4,9.9,5,0,0,0,5,60,15,19,141,8,1,12,3,1,48,128365,185764,32801,88.18,105350,1913
Puck689,2.73,6,4.8,7.1,3,3,2,0,2,40,4,20,132,4,2,11,2,4,51,152588,230822,43519,66.18,102467,1930.7
Fryingpanboy,3.41,0.8,4.6,14.9,0,0,0,0,10,80,0,15,129,5,0,26,6,6,51,42304,133334,265027,24.35,102436,2103.8
mania3x,5.59,10.2,3.2,7.7,0,8,0,2,0,100,2,31,73,14,2,25,0,0,56,191113,201893,50262,176.15,121217,1767.4
BIG BIG XI,2.11,6.7,6.3,6.6,0,0,4,5,1,50,0,7,64,15,3,12,2,2,49,198926,194906,23290,32.73,121461,1980.7
MightyMouseMatt,1.6,5.7,8.1,7.3,0,3,4,2,1,20,0,24,58,2,1,13,1,1,42,159008,244366,46393,99.4,114443,2025
FurryFluffyFoxy,2.54,4.4,4.8,7.8,2,5,0,2,1,60,6,36,160,6,2,18,4,2,46,137003,259210,77558,76.25,108992,1901.4
