"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"omgcrayolamarker",2.14,3.5,6.5,10.4,0,2,2,2,4,30,19,21,164,1,1,18,3,1,52,121719,253146,56230,10094,102613,1974,0,4610,4407,3747,6976,14695,47095,31.5,161,4557,17084,4,15,18,3,3,20,0.52,1.47,0,130,58659,64584,25,327,27513,30385,19,8,16,2,3,32,0.58,0,0,7776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20564,62795,9.5,1,7455,21480,3,18,40,5,5,45,0.51,2.39,50,152,27801,78672,5.5,137,16705,33664,9,24,30,9,10,67,0.48,1.63,50,2036
"TylerM xDD",1.84,5.30,6.70,7.00,0,3,2,2,3,50,1, 29, 120, 5, 0, 13,0,2,51, 148274, 179502, 27110, 57.03, 104255,1780,0,3460,4541,3694,6105,45540,36180,74.50,376,5374,26801,15,9,16,0,6,25,0.50,3.44,100.00,384,24850,36024,50.00,210,2625,15873,7,15,7,0,1,21,0.52,0.00,0.00,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35121,61906,5.67,159,15837,27913,22,18,9,1,12,27,0.57,1.72,33.33,2224,42763,45392,5.67,145,3274,33668,9,25,38,0,10,47,0.47,1.88,66.67,705,
"Alinabot",2.61,6.50,6.20,9.70,5,0,2,0,3,60,10, 29, 149, 9, 3, 14,8,2,53, 199795, 276379, 89291, 78.40, 132148,1958.8,9126,4427,0,0,6035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54520,46739,58.00,430,1967,29936,17,16,15,1,10,24,0.53,0.00,50.00,2957,109365,145773,59.40,1071,29045,66567,36,28,20,4,5,61,0.44,2.00,60.00,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35910,83867,8.33,156,58279,35645,12,18,62,5,14,64,0.64,4.11,66.67,1098,
"kachinba",2.00,7.00,7.40,7.80,3,0,3,4,0,50,0, 27, 96, 14, 6, 17,2,4,46, 223354, 230691, 19602, 161.00, 125752,2062.8,5395,7541,0,7692,0,92900,82277,54.25,655,8033,48283,30,27,35,0,2,39,0.47,2.41,75.00,561,90474,95895,44.00,506,9403,45642,30,34,29,0,17,42,0.52,0.00,33.33,987,39980,52519,60.00,512,2166,31827,10,13,14,0,8,15,0.34,1.85,33.33,8112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Zjx Victor",1.69,4.30,7.20,7.90,3,2,0,5,0,20,0, 5, 83, 11, 1, 10,1,1,47, 152099, 238281, 27933, 60.37, 104396,1918.4,5132,0,3939,10113,0,77644,103161,49.80,866,14717,54701,13,38,44,0,2,48,0.46,1.50,20.00,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45438,70013,40.33,339,3447,29171,21,19,17,0,1,18,0.51,2.00,33.33,897,29017,65107,1.00,123,9769,20524,9,15,18,0,2,17,0.46,1.80,0.00,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"pi314159",2.38,3.50,6.90,12.90,2,1,0,2,5,40,10, 22, 201, 6, 1, 19,3,4,56, 129726, 263016, 83433, 41.72, 101159,1948.5,4923,0,2423,2984,9155,17600,30393,20.00,116,5762,13211,6,16,8,0,2,24,0.56,0.88,0.00,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62156,82713,55.00,391,6278,30578,15,19,34,3,9,35,0.49,2.58,50.00,1050,18492,49511,0.00,56,20200,13737,4,7,26,1,0,13,0.68,4.29,100.00,460,31478,100399,6.20,155,51193,43633,10,27,61,6,11,129,0.58,2.63,40.00,946,
"JabberW0ck",4.41,3.80,3.70,12.50,1,5,0,0,4,70,18, 25, 148, 4, 1, 23,0,5,53, 130770, 235038, 62354, 86.28, 116709,2006,1270,0,10482,0,8308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4231,6727,40.00,120,2180,5686,0,1,1,1,0,8,0.17,1.00,0.00,324,79599,166105,2.20,366,54800,63870,28,21,48,8,10,58,0.53,3.62,60.00,4338,46940,62206,3.25,141,5374,47153,10,15,76,9,15,82,0.54,5.73,100.00,515,
"Puck689",2.94,6.80,4.80,7.30,5,3,2,0,0,40,0, 16, 122, 5, 2, 14,2,4,54, 181427, 264714, 56137, 60.00, 112464,2042.2,9726,5572,5124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60620,57070,41.50,365,4254,31764,20,18,17,0,6,35,0.54,0.00,50.00,1306,78112,143003,33.20,525,37665,52643,26,15,36,0,7,58,0.53,4.13,40.00,1360,42695,64641,2.00,110,14218,28057,22,15,20,0,3,29,0.55,2.80,33.33,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Fryingpanboy",3.41,0.80,4.60,14.90,0,0,0,0,10,80,0, 15, 129, 5, 0, 26,6,6,51, 42304, 133334, 265027, 24.35, 102436,2103.8,0,0,0,0,21038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42304,133334,1.90,128,265027,102436,8,46,149,0,15,129,0.51,3.41,80.00,1461,
"mania3x",5.59,10.20,3.20,7.70,0,8,0,2,0,100,2, 31, 73, 14, 2, 25,0,0,56, 191113, 201893, 50262, 176.15, 121217,1767.4,0,0,14123,3551,0,44082,30514,58.00,291,6132,24494,21,6,18,1,4,13,0.60,6.50,100.00,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147031,171379,2.13,474,44130,96723,81,26,59,1,27,60,0.55,5.38,100.00,10208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
