"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"omgcrayolamarker",500,2.14,3.5,6.5,10.4,0,2,2,2,4,30,19,21,164,1,1,18,3,1,52,121719,253146,56230,10094,102613,1974,0,4610,4407,3747,6976,14695,47095,31.5,161,4557,17084,4,15,18,3,3,20,0.52,1.47,0,130,50,0.5,1.5,0,267.4,1638.1,-31.75,-23.52,5.8,0.17,0.12,58659,64584,25,327,27513,30385,19,8,16,2,3,32,0.58,4.38,0,7776,0,3,4.5,-4.45,353.55,2206.4,-84.95,3.7,176,0.23,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20564,62795,9.5,1,7455,21480,3,18,40,5,5,45,0.51,2.39,50,152,0,0.5,1,0,243.95,1556.8,0,0,0,0.15,0.07,27801,78672,5.5,137,16705,33664,9,24,30,9,10,67,0.48,1.63,50,2036,25,0.25,0.75,-0.17,222.02,1325.9,-37.35,-51.64,-56.13,0.16,0.1
"TylerM xDD",559,1.84,5.30,6.70,7.00,0,3,2,2,3,50,1, 29, 120, 5, 0, 13,0,2,51, 148274, 179502, 27110, 57.03, 104255,1780,0,3460,4541,3694,6105,45540,36180,74.50,376,5374,26801,15,9,16,0,6,25,0.50,3.44,100.00,384,50.00,2.00,4.00,0.00,315.00,1279.80,9.93,7.72,165.20,0.22,0.26,24850,36024,50.00,210,2625,15873,7,15,7,0,1,21,0.52,0.93,0.00,109,0.00,1.00,2.00,0.75,427.05,1889.70,63.00,-196.80,33.40,0.19,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35121,61906,5.67,159,15837,27913,22,18,9,1,12,27,0.57,1.72,33.33,2224,0.00,1.67,4.00,0.17,335.00,0,-6.00,65.17,0,0.23,0.24,42763,45392,5.67,145,3274,33668,9,25,38,0,10,47,0.47,1.88,66.67,705,33.33,0.33,0.67,0.65,253.23,1206.95,39.58,-14.07,-19.07,0.18,0.14,
"Alinabot",560,2.61,6.50,6.20,9.70,5,0,2,0,3,60,10, 29, 149, 9, 3, 14,8,2,53, 199795, 276379, 89291, 78.40, 132148,1958.8,9126,4427,0,0,6035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54520,46739,58.00,430,1967,29936,17,16,15,1,10,24,0.53,2.00,50.00,2957,0.00,2.00,1.50,0.70,410.85,2306.30,-3.90,-55.35,131.10,0.23,0.24,109365,145773,59.40,1071,29045,66567,36,28,20,4,5,61,0.44,2.00,60.00,649,0.00,1.80,3.80,0.82,447.04,1787.08,20.70,65.40,141.02,0.24,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35910,83867,8.33,156,58279,35645,12,18,62,5,14,64,0.64,4.11,66.67,1098,0.00,0.67,1.33,-0.02,275.87,1116.97,18.83,89.10,-13.12,0.18,0.12,
"kachinba",641,2.50,7.40,6.80,9.60,2,0,2,6,0,50,1, 11, 88, 17, 4, 18,2,5,52, 214387, 223281, 17201, 154.88, 122503,1903.4,3834,3696,0,11504,0,140470,135034,52.50,1054,11047,78021,50,40,69,1,5,57,0.54,2.98,66.67,915,0.00,2.17,4.00,0.05,315.28,1989.47,16.93,12.83,-122.70,0.21,0.24,45921,42329,42.50,261,4214,22945,16,15,15,0,4,18,0.56,2.07,50.00,492,0.00,2.00,3.50,-1.70,357.65,2124.50,-116.35,3.05,-31.70,0.20,0.28,27996,45918,53.50,315,1940,21537,8,13,12,0,2,13,0.38,1.54,0.00,7886,0.00,1.00,1.50,0.30,397.80,2366.90,-36.60,-5.35,-54.50,0.20,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Zjx Victor",575,1.69,4.30,7.20,7.90,3,2,0,5,0,20,0, 5, 83, 11, 1, 10,1,1,47, 152099, 238281, 27933, 60.37, 104396,1918.4,5132,0,3939,10113,0,77644,103161,49.80,866,14717,54701,13,38,44,0,2,48,0.46,1.50,20.00,1411,0.00,0.20,0.60,-0.49,255.60,1173.50,-60.06,-43.67,-101.04,0.19,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45438,70013,40.33,339,3447,29171,21,19,17,0,1,18,0.51,2.00,33.33,897,0.00,0.67,5.67,-2.47,353.83,2846.60,-103.67,-131.83,116.60,0.21,0.22,29017,65107,1.00,123,9769,20524,9,15,18,0,2,17,0.46,1.80,0.00,1314,0.00,0.50,2.00,-0.25,330.45,1137.90,8.65,-199.30,-59.60,0.18,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"pi314159",717,2.01,5.90,6.70,7.60,7,1,2,0,0,40,13, 10, 122, 13, 1, 19,1,4,47, 199641, 277737, 53152, 49.45, 113636,1883.3,13642,3677,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38116,38498,45.00,251,4903,19724,8,18,15,1,2,19,0.42,1.28,50.00,84,0.00,0.50,1.00,-0.50,400.95,1947.80,-16.70,11.90,-213.40,0.18,0.24,146321,214987,53.43,1172,40581,86007,48,45,55,12,7,97,0.48,2.29,42.86,2497,0.00,1.57,2.71,0.66,411.76,1663.68,-5.79,-2.74,-11.34,0.20,0.21,15204,24252,1.00,52,7668,7905,3,4,6,0,1,6,0.60,2.25,0.00,386,0.00,1.00,3.00,-0.10,280.50,0,-103.10,114.00,0,0.20,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"JabberW0ck",754,4.41,3.80,3.70,12.50,1,5,0,0,4,70,18, 25, 148, 4, 1, 23,0,5,53, 130770, 235038, 62354, 86.28, 116709,2006,1270,0,10482,0,8308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4231,6727,40.00,120,2180,5686,0,1,1,1,0,8,0.17,1.00,0.00,324,0.00,0.00,0.00,-0.60,359.40,0,-55.70,-37.10,0,0.21,0.16,79599,166105,2.20,366,54800,63870,28,21,48,8,10,58,0.53,3.62,60.00,4338,20.00,1.60,2.80,-0.12,279.18,1760.07,-36.98,-16.42,-46.53,0.21,0.17,46940,62206,3.25,141,5374,47153,10,15,76,9,15,82,0.54,5.73,100.00,515,0.00,0.75,1.50,-0.58,290.27,1280.77,-8.13,10.85,44.43,0.17,0.11,
"Puck689",541,3.00,6.80,4.90,7.90,4,3,3,0,0,50,0, 13, 115, 6, 2, 16,2,4,55, 180741, 245807, 43547, 62.00, 108787,1963.5,7639,6872,5124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72042,64503,43.67,454,4623,39060,23,23,27,0,6,42,0.56,2.17,66.67,1470,0.00,2.33,3.00,-0.80,405.33,1617.45,17.03,-28.90,-112.85,0.19,0.20,66004,116663,29.75,369,24706,41670,23,11,32,0,4,44,0.56,5.00,50.00,1316,0.00,1.50,4.25,-2.13,379.15,1601.43,-19.62,119.03,-82.17,0.19,0.21,42695,64641,2.00,110,14218,28057,22,15,20,0,3,29,0.55,2.80,33.33,934,0.00,1.33,3.67,-0.77,240.73,2202.80,-85.05,-1.72,-213.90,0.19,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Fryingpanboy",526,3.41,0.80,4.60,14.90,0,0,0,0,10,80,0, 15, 129, 5, 0, 26,6,6,51, 42304, 133334, 265027, 24.35, 102436,2103.8,0,0,0,0,21038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42304,133334,1.90,128,265027,102436,8,46,149,0,15,129,0.51,3.41,80.00,1461,0.00,0.00,0.00,-0.03,261.02,1114.96,5.90,9.78,-36.52,0.16,0.04,
"mania3x",500,5.59,10.20,3.20,7.70,0,8,0,2,0,100,2, 31, 73, 14, 2, 25,0,0,56, 191113, 201893, 50262, 176.15, 121217,1767.4,0,0,14123,3551,0,44082,30514,58.00,291,6132,24494,21,6,18,1,4,13,0.60,6.50,100.00,361,0.00,2.00,7.00,0.00,305.75,1904.30,34.40,126.88,-21.15,0.22,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147031,171379,2.13,474,44130,96723,81,26,59,1,27,60,0.55,5.38,100.00,10208,0.00,2.13,6.13,-0.08,304.27,1893.65,10.29,56.81,77.90,0.21,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
